time,I_AML1,I_AMD1,I_AMD2,I_AMIout,V_VMSw1,V_VMSw2,V_VML1,V_VMC1,V_VMp,V_VMD1,V_VMS1,V_VMD2,V_VMS2,V_VMout
0.0000545000,-20.2197360992,0.0000000000,0.0000000000,0.0000000000,0.0000000000,1000.0000000000,699.6662597656,300.3337402344,0.0000000000,0.0000000000,21.5230979919,-21.5230979919,0.0000000000,21.5230979919
0.0000550000,-16.3429584503,54.1563110352,0.0000000000,54.1563110352,1000.0000000000,0.0000000000,-259.1354064941,-79.0542755127,338.1896667480,0.0000000000,21.5148086548,-42.1105422974,-20.5957355499,21.5148086548
0.0000555000,-17.2642898560,27.5285339355,0.0000000000,27.5285339355,1000.0000000000,0.0000000000,57.0758972168,-424.6280822754,367.5521850586,0.0000000000,21.5146331787,-42.9691619873,-21.4545307159,21.5146331787
0.0000560000,-15.6000413895,44.4355545044,0.0000000000,44.4355545044,1000.0000000000,0.0000000000,367.9936523438,-764.3629150391,396.3692932129,0.0000000000,21.5112590790,-43.8070373535,-22.2957801819,21.5112590790
0.0000565000,-11.5746459961,101.0951995850,0.0000000000,101.0951995850,1000.0000000000,0.0000000000,626.5280761719,-1047.1435546875,420.6155090332,0.0000000000,21.5253353119,-44.5373458862,-23.0120086670,21.5253353119
0.0000570000,-5.7720422745,187.6623840332,0.0000000000,187.6623840332,1000.0000000000,0.0000000000,793.0288085938,-1229.9298095703,436.9010009766,0.0000000000,21.5742225647,-45.0869216919,-23.5126972198,21.5742225647
0.0000575000,0.9489605427,289.6565551758,0.0000000000,289.6565551758,1000.0000000000,0.0000000000,841.3597412109,-1284.3504638672,442.9907531738,0.0000000000,21.6693325043,-45.4074783325,-23.7381458282,21.6693325043
0.0000580000,7.5817737579,390.1048583984,0.0000000000,390.1048583984,1000.0000000000,0.0000000000,762.9920654297,-1201.1464843750,438.1544189453,0.0000000000,21.8143310547,-45.4831428528,-23.6688117981,21.8143310547
0.0000585000,13.1227827072,472.0845947266,0.0000000000,472.0845947266,1000.0000000000,0.0000000000,568.4765014648,-991.7689819336,423.2925109863,0.0000000000,22.0045070648,-45.3332023621,-23.3286952972,22.0045070648
0.0000590000,16.7232036591,521.2843627930,0.0000000000,521.2843627930,1000.0000000000,0.0000000000,286.0429077148,-686.8595581055,400.8166198730,0.0000000000,22.2273902893,-45.0095291138,-22.7821369171,22.2273902893
0.0000595000,17.8190841675,528.1962890625,0.0000000000,528.1962890625,1000.0000000000,0.0000000000,-42.4875488281,-331.8128051758,374.3003540039,0.0000000000,22.4645557404,-44.5890502930,-22.1244964600,22.4645557404
0.0000600000,16.2195453644,489.6044311523,0.0000000000,489.6044311523,0.0000000000,1000.0000000000,547.1352539062,19.9389648438,432.9258117676,0.0000000000,22.6943511963,-46.6480216980,-23.9536705017,22.6943511963
