"Time / s","Am1-source:Measured current","AmD1:Measured current","AmD4:Measured current","AmD3:Measured current","AmD2:Measured current","VmD1:Measured voltage","VmD4:Measured voltage","VmD3:Measured voltage","VmD2:Measured voltage","VmC1:Measured voltage"
0.0025529999999999997,0,0,0,0,0,-10.748538017718893,-4.2107774246201117,-4.2107774246201117,-10.748538017718893,14.959315442339005
0.0025539999999999998,0,0,0,0,0,-10.800377247260725,-4.1439863568010669,-4.1439863568010669,-10.800377247260725,14.944363604061792
0.002555,0,0,0,0,0,-10.852092557527621,-4.0773341526218072,-4.0773341526218072,-10.852092557527621,14.929426710149428
0.0025559999999999997,0,0,0,0,0,-10.903681604577635,-4.0108231410873829,-4.0108231410873829,-10.903681604577635,14.914504745665019
0.0025569999999999998,0,0,0,0,0,-10.955142049755874,-3.9444556459307236,-3.9444556459307236,-10.955142049755874,14.899597695686598
0.0025579999999999999,0,0,0,0,0,-11.006471559786046,-3.8782339855210681,-3.8782339855210681,-11.006471559786046,14.884705545307114
0.0025590000000000001,0,0,0,0,0,-11.057667806862643,-3.8121604727717728,-3.8121604727717728,-11.057667806862643,14.869828279634415
0.0025599999999999998,0,0,0,0,0,-11.108728468742372,-3.7462374150488635,-3.7462374150488635,-11.108728468742372,14.854965883791236
0.0025609999999999999,0,0,0,0,0,-11.159651228835564,-3.6804671140796135,-3.6804671140796135,-11.159651228835564,14.840118342915178
0.002562,0,0,0,0,0,-11.210433776297361,-3.614851865861338,-3.614851865861338,-11.210433776297361,14.825285642158699
0.0025629999999999997,0,0,0,0,0,-11.261073806118478,-3.5493939605706202,-3.5493939605706202,-11.261073806118478,14.810467766689099
0.0025639999999999999,0,0,0,0,0,-11.311569019216266,-3.4840956824722329,-3.4840956824722329,-11.311569019216266,14.7956647016885
0.002565,0,0,0,0,0,-11.361917122524714,-3.418959309829122,-3.418959309829122,-11.361917122524714,14.780876432353836
0.0025659999999999997,0,0,0,0,0,-11.412115829084996,-3.3539871148118374,-3.3539871148118374,-11.412115829084996,14.766102943896835
0.0025669999999999998,0,0,0,0,0,-11.462162858135477,-3.289181363408531,-3.289181363408531,-11.462162858135477,14.751344221544008
0.002568,0,0,0,0,0,-11.512055935201136,-3.2245443153354962,-3.2245443153354962,-11.512055935201136,14.736600250536632
0.0025689999999999997,0,0,0,0,0,-11.561792792183407,-3.1600782239473295,-3.1600782239473295,-11.561792792183407,14.721871016130736
0.0025699999999999998,0,0,0,0,0,-11.611371167449239,-3.0957853361478422,-3.0957853361478422,-11.611371167449239,14.707156503597082
