time,Vo,Io,VC1,ILr
1.4466332972964632e-05,7.083421182408288,28.333684729633152,406.674509615578,-12.019839735513463
1.4700314773799926e-05,7.109280036441179,28.437120145764716,376.50963091947665,-3.404375570421281
1.4775996806821972e-05,7.109241414682469,28.436965658729875,374.03930344644306,-0.5240128449688285
1.477599680682208e-05,7.109241414682466,28.436965658729864,374.0393034464421,-0.5240128449647269
1.4827232134241693e-05,7.1079854767857675,28.43194190714307,373.8188693830227,-1.2156942119645464e-14
1.4827232134241802e-05,7.107985476785764,28.431941907143056,373.8188693830226,1.0909051439966788e-12
1.4878467461661415e-05,7.1071361707412,28.4285446829648,374.04129438221764,0.5206500761569042
1.4999999999999909e-05,7.106697790715452,28.426791162861807,376.32380259946336,1.7313209495425588
1.5000000000000017e-05,7.1066977907154545,28.426791162861818,376.32380259946655,1.7313209495436113
1.5000000000000183e-05,7.106697790715455,28.42679116286182,376.3238025994714,1.7313209495452435
1.5014605315282323e-05,7.106539541758238,28.426158167032952,376.52228532198825,1.4954704141700859e-13
1.5014605315282431e-05,7.106539541758234,28.426158167032938,376.52228532198825,-1.268152249878085e-11
1.501538675519482e-05,7.106517997025675,28.4260719881027,376.52168181374884,-0.09228353538532887
1.5015386755194928e-05,7.106517997025671,28.426071988102684,376.5216818137486,-0.09228353539813211
1.5016168195107317e-05,7.106496279245408,28.425985116981632,376.52002053479407,-0.1628264546046792
1.502007539466926e-05,7.106402552058786,28.425610208235145,376.4979351140499,-0.515461148179587
1.5039611392478972e-05,7.106305038661076,28.425220154644304,376.0433779661954,-2.276298840899963
1.5137291381527533e-05,7.115015118751067,28.46006047500427,365.2382296842754,-10.98025690804209
1.5283262601000148e-05,7.15582154306264,28.62328617225056,323.2794511726075,-23.43842271989547
1.5429233820472764e-05,7.227821166954689,28.911284667818755,252.25146368282094,-34.839485764351885
1.557520503994538e-05,7.327527852963303,29.31011141185321,155.2430831468853,-44.763201100279936
1.5721176259417995e-05,7.450437911871247,29.801751647484988,36.291626797160966,-52.851281466304414
1.5903100855472716e-05,7.627784916258494,30.511139665033976,-135.1584456496066,-59.93630210624345
1.6085025451527438e-05,7.82112913931929,31.28451655727716,-322.60016389198216,-63.379465207124426
1.626695004758216e-05,8.017953317937835,32.07181327175134,-514.7475450433093,-63.03947468155382
1.644887464363688e-05,8.205713985427295,32.82285594170918,-700.2280465328611,-59.00026616805278
1.6630799239691602e-05,8.372542521418247,33.490170085672986,-868.254123359501,-51.56237285168653
1.6812723835746323e-05,8.507934903951309,34.031739615805236,-1009.2491481572848,-41.221576099109726
1.6994648431801045e-05,8.603348108463384,34.41339243385354,-1115.3914589829703,-28.63641025544281
1.7176573027855766e-05,8.65267098479725,34.610683939189,-1181.0458494570867,-14.586621244834355
1.7290161306519546e-05,8.658509481005328,34.634037924021314,-1200.0061657557073,-5.443875950065474
1.7290161306519762e-05,8.658509481005323,34.63403792402129,-1200.006165755727,-5.4438759500479845
