"Time / s","Vc:Measured voltage","AMLr:Measured current","VD1:Measured voltage","VD2:Measured voltage","VD3:Measured voltage","VD4:Measured voltage","Vmout:Measured voltage","Am1:Measured current","Am2:Measured current","Am3:Measured current","Am4:Measured current","AMIo:Measured current"
0.00092433333333333343,625.5032958984375,20.817281723022461,-28.044948577880859,-26.80327033996582,-26.80327033996582,-28.044948577880859,54.848217010498047,0,0,0,0,219.39286804199219
0.00092466666666666674,740.4302978515625,20.478538513183594,-30.783390045166016,-23.991744995117188,-23.991744995117188,-30.783390045166016,54.775135040283203,0,0,0,0,219.10054016113281
0.00092500000000000004,852.18719482421875,19.678211212158203,-54.7021484375,0,0,-54.7021484375,54.7021484375,0,0,0,0,218.80859375
0.00092533333333333335,914.2757568359375,2.3018379211425781,-54.667156219482422,0,0,-54.667156219482422,54.667156219482422,0,234.27395629882813,234.27395629882813,0,218.66862487792969
0.00092566666666666676,876.9464111328125,-15.512092590332031,-54.713424682617188,0,0,-54.713424682617188,54.713424682617188,0,476.564453125,476.564453125,0,218.85369873046875
0.00092600000000000007,747.65045166015625,-30.251495361328125,-54.832622528076172,0,0,-54.832622528076172,54.832622528076172,0,662.3377685546875,662.3377685546875,0,219.33049011230469
0.00092633333333333337,551.95965576171875,-39.014907836914063,-54.996467590332031,0,0,-54.996467590332031,54.996467590332031,0,738.28717041015625,738.28717041015625,0,219.98587036132813
0.00092666666666666668,328.49240112304688,-40.086135864257813,-55.162349700927734,0,0,-55.162349700927734,55.162349700927734,0,672.90081787109375,672.90081787109375,0,220.64939880371094
0.00092700000000000009,121.25592041015625,-33.274017333984375,-55.281795501708984,0,0,-55.281795501708984,55.281795501708984,0,462.7059326171875,462.7059326171875,0,221.12718200683594
0.00092733333333333339,-29.076698303222656,-19.949533462524414,-55.310077667236328,0,0,-55.310077667236328,55.310077667236328,0,132.95478820800781,132.95478820800781,0,221.24031066894531
0.0009276666666666667,-93.224319458007813,-15.686311721801758,-39.840545654296875,-15.374563217163086,-15.374563217163086,-39.840545654296875,55.215106964111328,0,0,0,0,220.86042785644531
0.00092800000000000001,-185.75265502929688,-17.561161041259766,-37.569084167480469,-17.572452545166016,-17.572452545166016,-37.569084167480469,55.141536712646484,0,0,0,0,220.56614685058594
0.00092833333333333342,-287.6146240234375,-19.040096282958984,-35.072395324707031,-19.995662689208984,-19.995662689208984,-35.072395324707031,55.068061828613281,0,0,0,0,220.27224731445313
0.00092866666666666672,-396.5137939453125,-20.08979606628418,-32.405937194824219,-22.588748931884766,-22.588748931884766,-32.405937194824219,54.994686126708984,0,0,0,0,219.97874450683594
0.00092900000000000003,-509.99526977539063,-20.686614990234375,-29.628993988037109,-25.292411804199219,-25.292411804199219,-29.628993988037109,54.921409606933594,0,0,0,0,219.68563842773438
0.00092933333333333344,-625.50091552734375,-20.817119598388672,-26.803333282470703,-28.044895172119141,-28.044895172119141,-26.803333282470703,54.848228454589844,0,0,0,0,219.39291381835938
0.00092966666666666675,-740.42706298828125,-20.478389739990234,-23.991828918457031,-30.783317565917969,-30.783317565917969,-23.991828918457031,54.775146484375,0,0,0,0,219.1005859375
0.00093000000000000005,-852.1832275390625,-19.678077697753906,0,-54.702159881591797,-54.702159881591797,0,54.702159881591797,0,0,0,0,218.80863952636719
0.00093033333333333336,-914.27142333984375,-2.3018455505371094,0,-54.667167663574219,-54.667167663574219,0,54.667167663574219,234.27102661132813,0,0,234.27102661132813,218.66867065429688
0.00093066666666666677,-876.94256591796875,15.51190185546875,0,-54.713432312011719,-54.713432312011719,0,54.713432312011719,476.5587158203125,0,0,476.5587158203125,218.85372924804688
0.00093100000000000008,-747.64788818359375,30.251174926757813,0,-54.832626342773438,-54.832626342773438,0,54.832626342773438,662.329833984375,0,0,662.329833984375,219.33050537109375
